Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
131.0351,C00141,M-H+O[-],49.4,0.000166466769996987,EC000137
156.0666,C00141,M+ACN-H[-],155.3,3.14667699967686e-05,EC000138
156.0667,C00141,M+ACN-H[-],58.5,0.000131466770000088,EC000135
97.0295,C00141,M-H2O-H[-],260.3,7.64667699826305e-05,EC000136
97.0296,C00141,M-H2O-H[-],49.9,0.00017646676998595,EC000137
99.0441,C00141,M-H2O+H[1+],152.6,0.000123533229995587,EC000138
456.1638,C00143,M-H[-],134.9,7.64667699968413e-05,EC000139
494.1381,C00143,M+Cl37[-],139.1,0.00120000000003984,EC000139
109.0295,C00146,M-H+O[-],65.1,3.35332300096525e-05,EC000140
113.0597,C00146,M+H2O+H[1+],56.8,7.64667699826305e-05,EC000140
134.0612,C00146,M+ACN-H[-],58.6,3.14667700251903e-05,EC000140
153.0557,C00146,M+CH3COO[-],135.7,0.000505000000003974,EC000141
93.0346,C00146,M-H[-],61.9,2.35332300064783e-05,EC000140
93.03463,C00146,M-H[-],132.7,6.46677000304408e-06,EC000141
93.0347,C00146,M-H[-],250.8,7.64667699968413e-05,EC000142
95.0491,C00146,M+H[1+],226.6,7.64667699968413e-05,EC000142
95.0492,C00146,M+H[1+],54,2.35332300064783e-05,EC000140
95.04929,C00146,M+H[1+],164.4,0.000113533230006624,EC000143
134.0472,C00147,M-H[-],6.5,2.35332299780566e-05,EC000144
134.0473,C00147,M-H[-],213.8,7.6466770025263e-05,EC000145
134.04733,C00147,M-H[-],58.5,0.000106466770006364,EC000146
136.0618,C00147,M+H[1+],155.4,2.35332300064783e-05,EC000147
